leistung,rechtsnorm,zielgruppen,themenfelder,category,sub_category,zielgruppe1,zielgruppe2,themenfeld1,themenfeld2
"Aktive Arbeitsförderung, Gründungszuschuss.",§ 93 Gründungszuschuss SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Kurzarbeitergeld.",§ 95 Anspruch SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Saison-Kurzarbeitergeld.",§ 101 Saison- Kurzarbeitergeld SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Zuschuss-Wintergeld.",§ 102 Abs. 2 Ergänzende Leistungen SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Mehraufwands-Wintergeld.",§ 102 Abs. 3 Ergänzende Leistungen SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Wintergeld. Erstattung der AG-Sozialversicherungsbeiträge.",§ 102 Abs. 4 Ergänzende Leistungen SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Heimarbeiter-Kurzarbeitergeld.",§ 103 Kurzarbeitergeld für Heimarbeiterinnen und Heimarbeiter SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Kurzarbeitergeld. Teilerstattung der AG-Sozialversicherungsbeiträge bei Weiterbildung und Kurzarbeit.",§ 106a Erstattungen bei beruflicher Weiterbildung während Kurzarbeit SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Hälftige Bezuschussung von Transfermaßnahmen.",§ 110 Transfermaßnahmen SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Transferkurzarbeitergeld.",§ 111 Transferkurzarbeitergeld SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Transferkurzarbeitergeld: hälftige Förderung von Weiterbildungsmaßnahmen.",§ 111a Förderung der beruflichen Weiterbildung bei Transferkurzarbeitergeld SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, diverse allgemeine Leistungen der Behindertenteilhabe.",§ 113 Abs. 1 S. 1 Leistungen zur Teilhabe SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, diverse besondere Leistungen der Behindertenteilhabe.",§ 113 Abs. 1 S. 2 Leistungen zur Teilhabe SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Übergangsgeld mit Vorbeschäftigungszeit.",§ 119 Übergangsgeld SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Übergangsgeld ohne Vorbeschäftigungszeit.",§ 121 Übergangsgeld ohne Vorbeschäftigungszeit SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Ausbildungsgeld bei Berufsausbildung oder vorbereitenden Maßnahmen.",§ 122 Abs. 1 S. 1 Ausbildungsgeld SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Ausbildungsgeld für innerbetriebliche Qualifizierung.",§ 122 Abs. 1 S. 2 Ausbildungsgeld SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Ausbildungsgeld für Behindertenwerkstattmitarbeiter u.Ä.",§ 122 Abs. 1 S. 3 Ausbildungsgeld SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Kostenerstattung für behindertengerechte Unterkunft und Verpflegung im Zusammenhang mit Maßnahmen der Arbeitsförderung.",§ 128 Kosten für Unterkunft und Verpflegung bei anderweitiger auswärtiger Unterbringung SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Arbeitslosengeld, Arbeitslosengeld bei Arbeitslosigkeit.",§ 136 Abs. 1 S. 1 Anspruch auf Arbeitslosengeld SGB IIII,['Erwerbsalter'],['Arbeit & Grundsicherung'],SGB III,Arbeitslosengeld und Insolvenzgeld,Erwerbsalter,,Arbeit,Grundsicherung
"Arbeitslosengeld, Arbeitslosengeld bei Weiterbildung.",§ 136 Abs. 1 S. 2 Anspruch auf Arbeitslosengeld SGB IIII,['Erwerbsalter'],['Arbeit & Grundsicherung'],SGB III,Arbeitslosengeld und Insolvenzgeld,Erwerbsalter,,Arbeit,Grundsicherung
"Arbeitslosengeld, überbrückendes Arbeitslosengeld bei gesundheitlichen Einschränkungen.",§ 145 Minderung der Leistungsfähigkeit SGB III,['Erwerbsalter'],['Arbeit & Grundsicherung'],SGB III,Arbeitslosengeld und Insolvenzgeld,Erwerbsalter,,Arbeit,Grundsicherung
"Arbeitslosengeld, Teilarbeitslosengeld.",§ 162 Teilarbeitslosengeld SGB III,['Erwerbsalter'],['Arbeit & Grundsicherung'],SGB III,Arbeitslosengeld und Insolvenzgeld,Erwerbsalter,,Arbeit,Grundsicherung
Insolvenzgeld.,§ 165 Anspruch SGB III,['Erwerbsalter'],['Arbeit & Grundsicherung'],SGB III,Arbeitslosengeld und Insolvenzgeld,Erwerbsalter,,Arbeit,Grundsicherung
"Leistungen hinsichtlich der Versicherungsbedingungen, kostenfreie Mitversicherung von Lebenspartner/Kindern.",§ 10 Familienversicherung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Kostenübernahme bei alternativlosen nicht-EWR Auslandsbehandlungen.",§ 18 Kostenübernahme bei Behandlung außerhalb des Geltungsbereichs des Vertrages zur Gründung der Europäischen Gemeinschaft und des Abkommens über den Europäischen Wirtschaftsraum SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, allgemeine Präventions- und Gesundheitsförderungsmaßnahmen.",§ 20 Primäre Prävention und Gesundheitsförderung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Leistungen zur Gesundheitsförderung und Prävention in Lebenswelten.",§ 20a Leistungen zur Gesundheitsförderung und Prävention in Lebenswelten SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, betriebliche Gesundheitsförderung.",§ 20b Betriebliche Gesundheitsförderung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Präventionsmaßnahmen arbeitsbedingter Gesundheitsgefahren durch Krankenkassen.",§ 20c Prävention arbeitsbedingter Gesundheitsgefahren SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Förderung von Selbsthilfegruppierungen.",§ 20h Förderung der Selbsthilfe SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Leistungen zur Verhütung übertragbarer Krankheiten.","§ 20i Leistungen zur Verhütung übertragbarer Krankheiten, Verordnungsermächtigung SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Beratungsleistungen zur HIV- Präexpositionsprophylaxe.",§ 20j Abs. 1 S.1 Präexpositionsprophylaxe SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Untersuchungsleistungen zur HIV- Präexpositionsprophylaxe.",§ 20j Abs. 1 S.2 Präexpositionsprophylaxe SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Gruppenprophylaxe für Minderjährige (Zahnarztbesuche in Schulen und Kindergärten).",§ 21 Verhütung von Zahnerkrankungen (Gruppenprophylaxe) SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, spezifische Programme zur Verhütung von Zahnerkrankung für Kinder mit besonders hohem Risiko.",§ 21 Verhütung von Zahnerkrankungen (Gruppenprophylaxe) SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, halbjährliche Individualprophylaxe für Minderjährige.",§ 22 Abs. 1 Verhütung von Zahnerkrankungen (Individualprophylaxe) SGB V,"['Jugendliche', 'Kinder']","['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jugendliche,Kinder,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Fissurenversiegelung der Molaren.",§ 22 Abs. 2 Verhütung von Zahnerkrankungen (Individualprophylaxe) SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Individualprophylaxe für Pflegebedürftige.",§ 22a Verhütung von Zahnerkrankungen bei Pflegebedürftigen und Menschen mit Behinderungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Individualprophylaxe für Behinderte.",§ 22a Verhütung von Zahnerkrankungen bei Pflegebedürftigen und Menschen mit Behinderungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, reguläre medizinische Vorsorgeleistungen.",§ 23 Abs. 1 Medizinische Vorsorgeleistungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, ambulante Vorsorgeleistungen in anerkannten Kurorten.",§ 23 Abs. 2 Medizinische Vorsorgeleistungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Behandlung, Unterkunft und Verpflegung in einer Vorsorgeeinrichtung.",§ 23 Abs. 4 Medizinische Vorsorgeleistungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Mutter, Vater- Kind Leistungen.",§ 24 Medizinische Vorsorge für Mütter und Väter SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Empfängnisverhütung: Beratungsleistungen.",§ 24a Abs. 1 Empfängnisverhütung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Empfängnisverhütung: Untersuchungsleistungen.",§ 24a Abs. 2 Empfängnisverhütung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Empfängnisverhütung: Verordnung von empfängnisregelnden Mitteln.",§ 24a Abs. 3 Empfängnisverhütung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Empfängnisverhütung: Versorgung mit empfängnisverhütenden Mitteln für Versicherte unter 22.",§ 24a Empfängnisverhütung SGB V,"['Jugendliche', 'Kinder']","['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jugendliche,Kinder,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, Empfängnisverhütung: Versorgung mit Notfallkontrazeptiva für Versicherte unter 22.",§ 24a Empfängnisverhütung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Abtreibung: Beratungsleistungen.",§ 24b Schwangerschaftsabbruch und Sterilisation SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Abtreibung: Vor- und Nachbereitungen, Komplikationsprävention und –behandlung.",§ 24b Schwangerschaftsabbruch und Sterilisation SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen der Primären Prävention und Gesundheitsförderung, durch Krankheit erforderliche Sterilisation.",§ 24b Schwangerschaftsabbruch und Sterilisation SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Untersuchungen zur Schwangerschaftsfeststellung und Schwangerenvorsorge.",§ 24d Ärztliche Betreuung und Hebammenhilfe SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Wochenbettbetreuung.",§ 24d Ärztliche Betreuung und Hebammenhilfe SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Beratung zu Mundgesundheit, Hygiene und Kariesrisiko nach Entbindung.",§ 24d Ärztliche Betreuung und Hebammenhilfe SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Ärztliche Betreuung und Hebammenhilfe vor, während und nach der Schwangerschaft.",§ 24d Ärztliche Betreuung und Hebammenhilfe SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Versorgung mit Arznei- , Verband- , Heil- , Hilfsmitteln und digitalen Gesundheitsanwendungen.","§ 24e Versorgung mit Arznei- , Verband- , Heil- und Hilfsmitteln SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Ambulante oder stationäre Entbindungsleistungen.",§ 24f Entbindung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Häusliche Pflege im Zusammenhang mit Schwangerschaft oder Entbindung.",§ 24g Häusliche Pflege SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Schwangerschaft und Mutterschaft, Haushaltshilfe bei Schwangerschaft oder Entbindung.",§ 24h Haushaltshilfe SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Erfassung von gesundheitlichen Risiken und Früherkennung von Krankheiten, präventionsorientierte Gesundheitsberatung hinsichtlich bevölkerungsmedizinisch relevanter Krankheiten.",§ 25 Gesundheitsuntersuchungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Erfassung von gesundheitlichen Risiken und Früherkennung von Krankheiten, Krebsfrüherkennung.",§ 25a Organisierte Früherkennungsprogramme SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Erfassung von gesundheitlichen Risiken und Früherkennung von Krankheiten, individuelle datengestützte Gesundheitsberatung.",§ 25b Datengestützte Erkennung individueller Gesundheitsrisiken durch die Kranken- und Pflegekassen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Erfassung von gesundheitlichen Risiken und Früherkennung von Krankheiten, Gesundheitsuntersuchungen für Kinder und Jugendliche mit präventivem Charakter.",§ 26 Gesundheitsuntersuchungen für Kinder und Jugendliche SGB V,"['Kinder', 'Jugendliche']","['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Kinder,Jugendliche,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Krankheit, Krankenbehandlung.",§ 27 Krankenbehandlung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Kryokonservierung von Ei- oder Samenzellen oder von Keimzellgewebe.",§ 27a Abs. 4 Künstliche Befruchtung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, künstliche Befruchtung.",§ 27a Künstliche Befruchtung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Anspruch auf Zweitmeinung bei potentiell riskanten planbaren Eingriffen.",§ 27b Zweitmeinung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, ärztliche Behandlung.",§ 28 Ärztliche und zahnärztliche Behandlung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, zahnärztliche Behandlung.",§ 28 Ärztliche und zahnärztliche Behandlung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, psychotherapeutische Behandlung.",§ 28 Ärztliche und zahnärztliche Behandlung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, kieferorthopädische Behandlung.",§ 29 Kieferorthopädische Behandlung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, einmalige Versorgung mit Arzneimitteln.","§ 31 Abs. 1b Arznei- und Verbandmittel, Verordnungsermächtigung SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Versorgung mit medizinischem Cannabis.","§ 31 Abs. 6 Arznei- und Verbandmittel, Verordnungsermächtigung SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Versorgung mit Verbandmitteln.","§ 31 Arznei- und Verbandmittel, Verordnungsermächtigung SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Versorgung mit Harn- und Blutteststreifen.","§ 31 Arznei- und Verbandmittel, Verordnungsermächtigung SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Anspruch auf einen Medikationsplan.",§ 31a Medikationsplan SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Versorgung mit telemedizinischen Heilmitteln.",§ 32 Abs. 1 S. 2 Heilmittel SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Anspruch auf Hörhilfen.",§ 33 Abs. 1 S. 1 Hilfsmittel SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Anspruch auf Körperersatzstücke.",§ 33 Abs. 1 S. 1 Hilfsmittel SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Anspruch auf orthopädische und andere Hilfsmittel.",§ 33 Abs. 1 S. 1 Hilfsmittel SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Anspruch auf Sehhilfen.",§ 33 Abs. 2 Hilfsmittel SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Versorgung mit digitalen Gesundheitsprodukten.",§ 33a Digitale Gesundheitsanwendungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Einmalige Versorgung mit nicht verschreibungspflichtigen Tabakentwöhnungsmitteln.","§ 34 Abs. (2) Ausgeschlossene Arznei- , Heil- und Hilfsmittel SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
